#N,trial,mode,bytes
9,17,PLAIN_TIGHT,79
9,18,PLAIN_TIGHT,79
9,19,PLAIN_TIGHT,79
10,0,PLAIN_TIGHT,87
10,1,PLAIN_TIGHT,87
10,2,PLAIN_TIGHT,87
10,3,PLAIN_TIGHT,87
10,4,PLAIN_TIGHT,87
10,5,PLAIN_TIGHT,87
10,6,PLAIN_TIGHT,87
10,7,PLAIN_TIGHT,87
10,8,PLAIN_TIGHT,87
10,9,PLAIN_TIGHT,87
10,10,PLAIN_TIGHT,87
10,11,PLAIN_TIGHT,87
10,12,PLAIN_TIGHT,87
10,13,PLAIN_TIGHT,87
10,14,PLAIN_TIGHT,87
10,15,PLAIN_TIGHT,87
10,16,PLAIN_TIGHT,87
10,17,PLAIN_TIGHT,87
10,18,PLAIN_TIGHT,87
10,19,PLAIN_TIGHT,87
11,0,PLAIN_TIGHT,95
11,1,PLAIN_TIGHT,95
11,2,PLAIN_TIGHT,95
11,3,PLAIN_TIGHT,95
11,4,PLAIN_TIGHT,95
11,5,PLAIN_TIGHT,95
11,6,PLAIN_TIGHT,95
11,7,PLAIN_TIGHT,95
11,8,PLAIN_TIGHT,95
11,9,PLAIN_TIGHT,95
11,10,PLAIN_TIGHT,95
11,11,PLAIN_TIGHT,95
11,12,PLAIN_TIGHT,95
11,13,PLAIN_TIGHT,95
11,14,PLAIN_TIGHT,95
11,15,PLAIN_TIGHT,95
11,16,PLAIN_TIGHT,95
11,17,PLAIN_TIGHT,95
11,18,PLAIN_TIGHT,95
11,19,PLAIN_TIGHT,95
12,0,PLAIN_TIGHT,103
12,1,PLAIN_TIGHT,103
12,2,PLAIN_TIGHT,103
12,3,PLAIN_TIGHT,103
12,4,PLAIN_TIGHT,103
12,5,PLAIN_TIGHT,103
12,6,PLAIN_TIGHT,103
12,7,PLAIN_TIGHT,103
12,8,PLAIN_TIGHT,103
12,9,PLAIN_TIGHT,103
12,10,PLAIN_TIGHT,103
12,11,PLAIN_TIGHT,103
12,12,PLAIN_TIGHT,103
12,13,PLAIN_TIGHT,103
12,14,PLAIN_TIGHT,103
12,15,PLAIN_TIGHT,103
12,16,PLAIN_TIGHT,103
12,17,PLAIN_TIGHT,103
12,18,PLAIN_TIGHT,103
12,19,PLAIN_TIGHT,103
